CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
3880e5d2f60f032c3cb60de95f5d952a,101,1,89.9,5,2,4,524,Potential Loyalists
3892c318bc9b3bd1569c043e9a18c8a8,117,1,37.0,4,2,2,422,Potential Loyalists
38db00b16cca3306392a0651a9a6b21c,141,1,99.49,4,2,4,424,Potential Loyalists
38e9ba7e543c33ae95a697ed2566dc00,168,1,64.9,4,2,3,423,Potential Loyalists
38eb5d4dcd39b971746632c47a4eb123,65,1,110.32,5,2,4,524,Potential Loyalists
391d6062da3dd65b4de4524f28c478de,42,1,0.0,5,2,1,521,Potential Loyalists
393c2ace23a135d0bcc7e70167448e16,63,1,145.9,5,2,4,524,Potential Loyalists
39406d5888ebe67839dc26b348c0d12f,57,1,18.9,5,2,2,522,Potential Loyalists
394b2ce444baae9ae609f5d32000de0f,47,1,0.0,5,2,1,521,Potential Loyalists
394f968dcd74016bb253218cc54efc04,82,1,31.0,5,2,2,522,Potential Loyalists
39669467dedbe4a650046a0ec8859aae,130,1,500.0,4,2,5,425,Potential Loyalists
396e89f9a8b20de569b4f649539028db,189,1,299.0,4,2,5,425,Potential Loyalists
397567bb88c56e494c4b4173b676266e,31,1,122.99,5,2,4,524,Potential Loyalists
3989cfd14391b8644422c0b34a5d3939,123,1,289.0,4,2,5,425,Potential Loyalists
39904c3df1113ce1f1eeef9746ddb249,24,1,14.99,5,2,2,522,Potential Loyalists
39a225d51e4e310f48caeee5f5579a35,173,1,0.0,4,2,1,421,Potential Loyalists
39a4355f6aa228bdd1dfbc642952aec3,184,1,125.0,4,2,4,424,Potential Loyalists
39b449c603f6d61c8c085ad3843d9298,133,1,109.9,4,2,4,424,Potential Loyalists
39d130b9509b4e9f0f5740fdf1efd679,69,1,0.0,5,2,1,521,Potential Loyalists
39d9d84ec70ae8203797be420f4d9427,111,1,699.99,5,2,5,525,Potential Loyalists
39e16ad9a306c8729696f7732acde86f,47,1,292.37,5,2,5,525,Potential Loyalists
3a03c18e57b25beb04fab567f3a38153,39,1,0.0,5,2,1,521,Potential Loyalists
3a1a5bba121ea1fc98060d58d3c812de,83,1,14.9,5,2,2,522,Potential Loyalists
3a3cb373edfed9973ae634f8ef6084ed,189,1,279.0,4,2,5,425,Potential Loyalists
3a4b5e843a09cdf9127f43e157966016,131,1,44.9,4,2,2,422,Potential Loyalists
3a5a79efb563dc2615fa9f92706c8133,108,1,8.99,5,2,1,521,Potential Loyalists
3a653a41f6f9fc3d2a113cf8398680e8,44,1,159.9,5,2,5,525,Potential Loyalists
3a6bdbb79e6f1c8a32976584c0bfd5a3,35,1,49.0,5,2,3,523,Potential Loyalists
3ab2f8203c5f8d73a1260109eb82eb20,39,1,1240.0,5,2,5,525,Potential Loyalists
3abf2523709d41f3b0138931a1b7c0cc,112,1,38.0,5,2,2,522,Potential Loyalists
3ac7a309b670de83219c488edd4faa72,126,1,71.0,4,2,3,423,Potential Loyalists
3ac85ec3c4d4071a896eb175c9c2e495,153,1,0.0,4,2,1,421,Potential Loyalists
3acf448d2e4314d2dc51be31606767d6,65,1,254.0,5,2,5,525,Potential Loyalists
3ae06873cba30f3c3707165c58ae6f35,186,1,69.9,4,2,3,423,Potential Loyalists
3ae383d89ca3d362ef616a364c3e94fb,151,1,195.0,4,2,5,425,Potential Loyalists
3ae4609bbfef1141b4e343f263c4b793,132,1,29.99,4,2,2,422,Potential Loyalists
3aed251d495c517cb52760baa9b4ce0f,127,1,79.9,4,2,3,423,Potential Loyalists
3af098c2986aaecf3d007bd04c4218c8,87,1,124.9,5,2,4,524,Potential Loyalists
3b004ab5868135f9bf80876b2070a016,107,1,0.0,5,2,1,521,Potential Loyalists
3b0777b4115e9b40426db87ddf80903f,128,1,77.99,4,2,3,423,Potential Loyalists
3b1e4f4bcff27703174c882bd33a099a,135,1,99.0,4,2,4,424,Potential Loyalists
3b417a96c3b138726b580e012fe23f33,132,1,14.4,4,2,2,422,Potential Loyalists
3b572bb8915409b6023b2b72973d942d,97,1,109.8,5,2,4,524,Potential Loyalists
3b74d8b3502e3c66e17463cafb35b89f,59,1,1190.0,5,2,5,525,Potential Loyalists
3b81f91785d9ea36cf5177991962baba,124,1,0.0,4,2,1,421,Potential Loyalists
3b8bd7043b1c683055e5f4ee7907c607,172,1,0.0,4,2,1,421,Potential Loyalists
3b97119ab53db4ae0144dff13c2ee26b,107,1,0.0,5,2,1,521,Potential Loyalists
3b9de7fdd14fc3a254f14c1e28f236e4,149,1,120.0,4,2,4,424,Potential Loyalists
3bd08ce268152ada1de9eccd7d7e0911,201,1,89.9,4,2,4,424,Potential Loyalists
3be6efa57f52f871582d516717da77d0,94,1,47.33,5,2,2,522,Potential Loyalists
3bf5a7cbb004806cd6c8955f1b116703,170,1,34.9,4,2,2,422,Potential Loyalists
3bf80ff2a823018c425de5658057cc5d,80,1,119.0,5,2,4,524,Potential Loyalists
3bf9a44ef770ac450177ebc53c1445e0,47,1,59.99,5,2,3,523,Potential Loyalists
3c0402bcc3ec3b33fc4430eb6c08720a,68,1,0.0,5,2,1,521,Potential Loyalists
3c5cc98c5d66e9df468a1149cea5db2f,136,1,659.7,4,2,5,425,Potential Loyalists
3c5e1130694632f44051b23fd86ad9e2,158,1,299.0,4,2,5,425,Potential Loyalists
3ca06f660aba198ce035bbc3f525eeab,126,1,0.0,4,2,1,421,Potential Loyalists
3cba4ab951d8cbc4e3d814ac1d7d6402,104,1,110.0,5,2,4,524,Potential Loyalists
3cc9ea3ffe189981b9a8b2b92b99271b,80,1,49.0,5,2,3,523,Potential Loyalists
3cd8a4523dd9a286b3d3d6ab7d7f6f16,136,1,104.9,4,2,4,424,Potential Loyalists
3cdb33be843c8a89687a70a43deeb1a7,170,1,54.4,4,2,3,423,Potential Loyalists
3cedce8d574ecec6c8043a8cf200d19d,46,1,66.99,5,2,3,523,Potential Loyalists
3cf14101fc0207e827130e8fdfc0da25,141,1,72.0,4,2,3,423,Potential Loyalists
3d1b3afea75cda0162624725b2f53148,94,1,0.0,5,2,1,521,Potential Loyalists
3d304df5973262bf91bd0d197571e4b9,84,1,101.4,5,2,4,524,Potential Loyalists
3d5af65316fc29ef1244b3e8fc395e0a,101,1,0.0,5,2,1,521,Potential Loyalists
3d5e14abd47ad7ae589af619b8d2489e,44,1,59.9,5,2,3,523,Potential Loyalists
