Segment,Customer_Count,Avg_Recency,Avg_Frequency,Avg_Monetary
At Risk,1983,422.05143721633885,1.0035300050428644,112.03039838628341
Champions,562,114.66725978647686,1.0177935943060499,251.2319572953737
Lost Customers,522,423.51340996168585,1.0,15.13419540229885
Loyal Customers,1440,172.3798611111111,1.0041666666666667,62.947159722222224
Need Attention,2455,268.15763747454173,1.0,133.29586558044807
Potential Loyalists,1323,115.28949357520786,1.0,113.9855933484505
