CohortMonth,1,2,4,8,9,12
2016-09,1.0,,,,,
2016-10,1.0,,,,,
2017-01,1.0,,,,,
2017-02,1.0,,,,,
2017-03,1.0,,,,0.005376344086021506,
2017-04,1.0,,,,,
2017-05,1.0,,,,,
2017-06,1.0,,,,,
2017-07,1.0,,,,,
2017-08,1.0,,,,,
2017-09,1.0,,,,0.00392156862745098,0.00392156862745098
2017-10,1.0,,,0.0037593984962406013,,
2017-11,1.0,,,,,
2017-12,1.0,,,,0.002881844380403458,
2018-01,1.0,,0.002183406113537118,,,
2018-02,1.0,,,,,
2018-03,1.0,,,,,
2018-04,1.0,,,,,
2018-05,1.0,0.002364066193853428,,,,
2018-06,1.0,,,,,
2018-07,1.0,,,,,
2018-08,1.0,,,,,
2018-09,1.0,,,,,
