k,silhouette_score
2,0.5456610693925497
3,0.5229194241620448
4,0.26573816339786255
5,0.2973263811998408
6,0.3230243116380512
7,0.3320457227945566
8,0.3012683216379852
9,0.30067585494067534
10,0.2765603227604953
