product_segment,products,units_sold,revenue,avg_price,avg_review_score,freight_to_revenue_ratio
Star Revenue Products,4472,40733,6784618.08,391.44822553844233,4.580015902595324,0.14421137560323521
Long-Tail Stable Products,14348,25192,3216210.09,118.84154805462101,4.674570825268547,0.20498834021532172
Quality-Risk Products,4708,10095,1903162.92,187.94502686694517,2.134112286622422,0.1920642544633682
High-Volume Value Products,4127,28311,1115319.5,39.11501896520445,4.018206062801332,0.5129581216980811
Logistics-Sensitive Products,4561,5866,202187.52,32.81529018281287,4.070153527317526,0.8106753385676011
