k,sample_inertia
2,6823.418694010365
3,5066.964761147587
4,4238.283752995073
5,3309.441568681605
6,2797.8476891102723
7,2443.0690392617716
8,2224.8608555667506
9,2047.2387767053287
10,1922.550892185634
