product_id,category,units_sold,orders,sellers,revenue,freight,avg_price,median_price,avg_freight,avg_review_score,late_delivery_rate,avg_delivery_days,product_weight_g,product_volume_cm3,product_photos_qty,product_description_length,gross_sales_with_freight,freight_to_revenue_ratio,product_segment
003128f981470c3e5a2e7445e4a771cd,sports_leisure,2,2,1,199.96,23.44,99.98,99.98,11.72,5.0,0.0,3.3029224537037036,1550.0,2560.0,6.0,1100.0,223.4,0.11722344468893779,Long-Tail Stable Products
0036bb031e69d915cd384d1b3838b5d3,garden_tools,1,1,1,35.99,10.96,35.99,35.99,10.96,5.0,0.0,7.794988425925926,200.0,1170.0,3.0,866.0,46.95,0.30452903584328983,Long-Tail Stable Products
003938452c98ff9ab28e9e7b4bfe97ab,furniture_living_room,1,1,1,179.9,21.87,179.9,179.9,21.87,4.0,0.0,5.844837962962963,5050.0,20000.0,2.0,420.0,201.77,0.12156753752084491,Long-Tail Stable Products
003962cb74a8b43cf1034fed541a76f0,luggage_accessories,1,1,1,94.9,19.9,94.9,94.9,19.9,5.0,0.0,12.651145833333333,1000.0,26496.0,1.0,214.0,114.80000000000001,0.2096944151738672,Long-Tail Stable Products
003a31970fea14fffe92ac856b8a9b97,home_construction,3,1,1,666.0,82.89,222.0,222.0,27.63,5.0,0.0,18.065347222222222,1850.0,24300.0,4.0,900.0,748.89,0.12445945945945946,Star Revenue Products
003c0b8f6580c850bd2e32044d2ac307,kitchen_dining_laundry_garden_furniture,2,1,1,898.0,86.2,449.0,449.0,43.1,3.0,0.0,6.195856481481481,21100.0,120000.0,2.0,705.0,984.2,0.09599109131403118,Quality-Risk Products
003dbcabcf8e3231de657c7d9f9a5eba,sports_leisure,2,2,1,72.0,35.2,36.0,36.0,17.6,4.5,0.0,10.309311342592594,1800.0,14520.0,1.0,1213.0,107.2,0.48888888888888893,Logistics-Sensitive Products
004154251837f6ac124ad4374b3a8148,furniture_decor,1,1,1,14.9,12.48,14.9,14.9,12.48,5.0,0.0,10.804189814814816,150.0,1750.0,3.0,1470.0,27.380000000000003,0.8375838926174497,Logistics-Sensitive Products
0042f1a9a7e0edd1400c6cd0fda065f8,health_beauty,1,1,1,39.9,7.0,39.9,39.9,7.0,5.0,0.0,3.1402199074074075,175.0,3289.0,3.0,1883.0,46.9,0.1754385964912281,Long-Tail Stable Products
0043c62d00db47eff6a6bc4cf6bfaeda,sports_leisure,1,1,1,527.99,20.14,527.99,527.99,20.14,1.0,0.0,14.320798611111112,380.0,3024.0,1.0,1105.0,548.13,0.03814466183071649,Quality-Risk Products
0043d1a25ef08fb6f41b8fa6f91742ab,construction_tools_construction,1,1,1,390.0,16.48,390.0,390.0,16.48,1.0,1.0,34.1097337962963,20400.0,27000.0,1.0,1691.0,406.48,0.042256410256410255,Quality-Risk Products
0044d70d4e53450c0fbb8255446a797b,sports_leisure,1,1,1,19.25,26.89,19.25,19.25,26.89,5.0,0.0,17.293564814814815,200.0,6480.0,1.0,695.0,46.14,1.3968831168831168,Logistics-Sensitive Products
004552d98c5d3653af8b4dbe8def0048,furniture_decor,1,1,1,349.9,18.21,349.9,349.9,18.21,5.0,0.0,13.749664351851852,900.0,13200.0,1.0,319.0,368.10999999999996,0.052043440983138047,Long-Tail Stable Products
004636c889c7c3dad6631f136b7fa082,housewares,4,3,1,196.0,57.239999999999995,49.0,49.0,14.309999999999999,4.0,0.0,4.52566550925926,550.0,7500.0,1.0,647.0,253.24,0.29204081632653056,High-Volume Value Products
004ffcbfa5aac82212a95bc972ea8a85,furniture_bedroom,1,1,1,229.0,34.66,229.0,229.0,34.66,4.0,0.0,15.054351851851852,10000.0,79625.0,2.0,776.0,263.65999999999997,0.151353711790393,Long-Tail Stable Products
005030ef108f58b46b78116f754d8d38,perfumery,13,13,1,191.87,147.06,14.75923076923077,13.99,11.312307692307693,4.615384615384615,0.07692307692307693,9.157054843304843,50.0,880.0,1.0,942.0,338.93,0.7664564548913326,High-Volume Value Products
005c6b24cc96dca3e2c01e824401030e,fashion_male_clothing,1,1,1,43.5,15.1,43.5,43.5,15.1,5.0,0.0,11.144861111111112,400.0,2380.0,1.0,384.0,58.6,0.3471264367816092,Long-Tail Stable Products
0060b415594c5e1200324ef1a18493c4,sports_leisure,1,1,1,69.99,9.32,69.99,69.99,9.32,1.0,0.0,6.93318287037037,1200.0,8000.0,1.0,3029.0,79.31,0.1331618802686098,Quality-Risk Products
00636f9286f69c9f1bdabe76e670fb50,furniture_decor,2,2,1,55.8,25.48,27.9,27.9,12.74,5.0,0.0,14.93517361111111,500.0,850.0,1.0,382.0,81.28,0.45663082437275987,Long-Tail Stable Products
