revenue
3125614.3
1117654.26
947023.26
444412.84
417989.93
320978.06
317551.69
189863.17
174281.56
156958.06
153254.21
145131.42
104496.98
92531.68
80743.48
77705.85
75583.18
55201.88
50116.83
45414.47
36747.85
28271.64
25417.35
12580.72
11444.19
8330.43
4445.08
