CohortMonth,Average_Retention,Highest_Retention,Lowest_Retention,Std_Deviation,Retention_Risk_Score,Growth_Index,Estimated_Revenue_Loss,Recovery_Potential,Opportunity_Score
2016-09,100.0,100.0,100.0,,0.0,Excellent,0.0,0.0,0.0
2016-10,25.32894736842105,100.0,0.43859649122807,49.780701754385966,74.67105263157895,Poor,746710.5263157896,224013.15789473685,74.67105263157895
2016-12,100.0,100.0,100.0,,0.0,Excellent,0.0,0.0,0.0
2017-01,9.327036599763865,100.0,0.18552875695732,30.07307163062183,90.67296340023614,Poor,906729.6340023614,272018.8902007084,90.67296340023614
2017-02,6.425421010425019,100.0,0.08019246190858,24.953404327543716,93.57457898957497,Poor,935745.7898957497,280723.7369687249,93.57457898957497
2017-03,5.712377301504323,100.0,0.052273915316249996,23.531240378314987,94.28762269849568,Poor,942876.2269849569,282862.86809548707,94.28762269849568
2017-04,6.832740213523127,100.0,0.05931198102016,25.774072853081897,93.16725978647688,Poor,931672.5978647688,279501.77935943066,93.16725978647688
2017-05,6.46728515625,100.0,0.0390625,24.94240586187767,93.53271484375,Poor,935327.1484375,280598.14453125,93.53271484375
2017-06,6.851607221488323,100.0,0.04403346543372,25.768881230010418,93.14839277851168,Poor,931483.9277851167,279445.178335535,93.14839277851168
2017-07,7.33363858363858,100.0,0.14245014245014,26.671404282835542,92.66636141636143,Poor,926663.6141636142,277999.08424908423,92.66636141636143
2017-08,7.897026459900706,100.0,0.06653359946773,27.673843838187896,92.1029735400993,Poor,921029.7354009929,276308.92062029784,92.1029735400993
2017-09,9.298506537770338,100.0,0.13633265167007,30.08247158554037,90.70149346222966,Poor,907014.9346222967,272104.480386689,90.70149346222966
2017-10,10.170648464163817,100.0,0.09308098045299,31.563031850562044,89.82935153583618,Poor,898293.5153583618,269488.05460750853,89.82935153583618
2017-11,10.15524422567209,100.0,0.056796667928809996,31.568460767628878,89.84475577432791,Poor,898447.557743279,269534.2673229837,89.84475577432791
2017-12,11.247061489223096,100.0,0.05098139179199,33.28242515318633,88.7529385107769,Poor,887529.385107769,266258.8155323307,88.7529385107769
2018-01,12.670387198735673,100.0,0.13828526274199002,35.286541890587614,87.32961280126433,Poor,873296.1280126433,261988.838403793,87.32961280126433
2018-02,14.476231447623144,100.0,0.107550010755,37.71253459648315,85.52376855237685,Poor,855237.6855237685,256571.30565713055,85.52376855237685
2018-03,16.837796121065697,100.0,0.04026575397624,40.74113912901146,83.1622038789343,Poor,831622.0387893431,249486.6116368029,83.1622038789343
2018-04,20.213344488600704,100.0,0.16732901066722,44.60224685573926,79.78665551139929,Poor,797866.5551139929,239359.96653419785,79.78665551139929
2018-05,25.192427709590177,100.0,0.18722696068233,49.87176499724156,74.80757229040982,Poor,748075.7229040982,224422.71687122947,74.80757229040982
2018-06,33.52927345403245,100.0,0.25864095932283,57.56534860121667,66.47072654596755,Poor,664707.2654596755,199412.17963790262,66.47072654596755
2018-07,33.551542513167796,100.0,0.02257336343115,57.546859110639176,66.44845748683221,Poor,664484.5748683221,199345.37246049664,66.44845748683221
2018-08,33.36268251522488,100.0,0.02201188641866,57.70961397980565,66.63731748477511,Poor,666373.1748477512,199911.95245432534,66.63731748477511
2018-09,100.0,100.0,100.0,,0.0,Excellent,0.0,0.0,0.0
2018-10,100.0,100.0,100.0,,0.0,Excellent,0.0,0.0,0.0
