Metric,Value
Total Cohorts,25
Average Retention (%),5.46
Best Cohort,2016-09
Worst Cohort,2017-03
Average Risk Score,71.48
Revenue Lost,17871187.74
Recovery Opportunity,5361356.32
Decay Rate,-5.5312
