product_category_name_english,revenue
computers,1089.7346511627907
small_appliances_home_oven_and_coffee,517.615238095238
home_appliances_2,435.7194666666667
agro_industry_and_commerce,325.75173076923073
musical_instruments,316.82105032822756
small_appliances,296.59715962441317
fixed_telephony,268.3975641025641
construction_tools_safety,223.23575
music,204.2326086956522
watches_gifts,203.69879967114278
air_conditioning,181.24473053892214
furniture_bedroom,168.2926666666667
construction_tools_construction,167.22177949709865
cool_stuff,165.7670304347826
office_furniture,162.87738522954092
kitchen_dining_laundry_garden_furniture,156.67455497382198
la_cuisine,153.22
consoles_games,151.74558951965065
home_confort,145.7353237410072
security_and_services,141.64499999999998
auto,141.25040768326147
construction_tools_lights,136.20175141242936
furniture_living_room,136.07795454545456
baby,130.82549972692516
home_construction,130.80664835164836
industry_commerce_and_business,130.14208588957055
audio,129.70190476190476
health_beauty,128.2674917376935
luggage_accessories,124.215670995671
party_supplies,123.28354838709679
costruction_tools_tools,119.21951612903226
toys,118.85707585644371
perfumery,117.91959420289855
computers_accessories,116.19874704491725
sports_leisure,114.60792474786656
signaling_and_security,113.36393700787401
cine_photo,110.73804878048782
costruction_tools_garden,110.4684892086331
pet_shop,108.31455236486487
garden_tools,107.81469026548673
home_appliances,100.5981623931624
furniture_mattress_and_upholstery,99.70833333333333
bed_bath_table,93.0536342007435
housewares,91.62544605324614
dvds_blu_ray,90.51410256410257
stationery,89.48965990843689
books_imported,88.48071428571428
fashion_shoes,87.78564102564103
furniture_decor,87.62622986677272
books_general_interest,85.26679758308157
market_place,84.5398536585366
fashion_male_clothing,83.18298701298701
art,80.82851851851852
tablets_printing_image,76.53132075471697
fashion_bags_accessories,75.23381729200653
arts_and_craftmanship,74.70875
books_technical,73.79506944444444
telephony,72.59455272727273
fashion_childrens_clothes,69.97666666666667
fashion_underwear_beach,66.70891566265061
food_drink,58.55305882352941
fashion_sport,57.47333333333333
christmas_supplies,56.53058139534884
electronics,56.44368847352025
fashio_female_clothing,56.00607142857143
food,55.223571428571425
cds_dvds_musicals,51.666666666666664
drinks,49.67846473029046
diapers_and_hygiene,48.04388888888889
flowers,35.449999999999996
home_comfort_2,32.54578947368421
Unknown,6.802360685654696
