Month,Survival_Rate
1,100.0
2,0.3777361404040253
3,0.21893960245935604
4,0.19528353478090438
5,0.2109031152302181
6,0.17021752530982154
7,0.19554442970411268
8,0.15370326572557153
9,0.19705635898000082
10,0.146071360448003
11,0.17642245122697445
12,0.19663224541596427
13,0.17891896435092752
14,0.16431666373306428
15,0.10854211633070801
16,0.149930165316255
17,0.137051248139725
18,0.29126431354597
20,0.43859649122807
