customer_unique_id,CLTV,Customer_Health_Index,Dynamic_Risk_Score,Customer_Persona,Next_Best_Action,Customer_Influence_Score,Strategic_Value_Score,Retention_Priority_Score,Lifecycle_Stage,Recommended_Campaign,Marketing_Priority,Conversion_Score
c7794313e2cd53472b116a751350f132,4598.0,83.03,16.97,VIP Customer,VIP Loyalty Benefits,58.62,68.38,16.97,Loyal Stage,Loyalty Programme Campaign,Normal,75.705
edde2314c6c30e864a128ac95d6b2112,4399.87,82.67,17.33,VIP Customer,VIP Loyalty Benefits,57.7,67.69,17.33,Loyal Stage,Loyalty Programme Campaign,Normal,75.18
